commonName,latitude,longitude,season
Albany Bottlebrush,-37.78194476,144.9492388,All year
Alder,-37.83622656,144.9840186,Spring
Aleppo Pine,-37.82500524,144.9442559,Summer
Aleppo Pine,-37.84191111,144.979421,Summer
Aleppo Pine,-37.78657354,144.9598226,Summer
Aleppo Pine,-37.80705722,144.953948,Summer
Aleppo Pine,-37.84218785,144.9796249,Summer
Aleppo Pine,-37.78696386,144.9596518,Summer
Aleppo Pine,-37.78785498,144.9246492,Summer
Aleppo Pine,-37.77850854,144.9404776,Summer
Aleppo Pine,-37.82510849,144.9455403,Summer
Aleppo Pine,-37.78888229,144.9230272,Summer
Aleppo Pine,-37.82500481,144.9436642,Summer
Aleppo Pine,-37.83859651,144.9852683,Summer
Aleppo Pine,-37.83205448,144.9769789,Summer
Aleppo Pine,-37.807479,144.9530841,Summer
Aleppo Pine,-37.84223929,144.9796662,Summer
Aleppo Pine,-37.82401917,144.9720931,Summer
Aleppo Pine,-37.83975247,144.9809302,Summer
Aleppo Pine,-37.8378359,144.9778511,Summer
Aleppo Pine,-37.78825609,144.9240302,Summer
Aleppo Pine,-37.82511834,144.944396,Summer
Aleppo Pine,-37.8072434,144.9535692,Summer
Aleppo Pine,-37.78599841,144.9598903,Summer
Aleppo Pine,-37.82497831,144.9440301,Summer
Aleppo Pine,-37.80687554,144.970524,Summer
Aleppo Pine,-37.82286505,144.9403015,Summer
Aleppo Pine,-37.80838089,144.9455749,Summer
Aleppo Pine,-37.79118725,144.9612297,Summer
Aleppo Pine,-37.82392821,144.9415822,Summer
Aleppo Pine,-37.82396906,144.9417898,Summer
Aleppo Pine,-37.8251436,144.9446192,Summer
Aleppo Pine,-37.82586413,144.9742438,Summer
Aleppo Pine,-37.84132515,144.9839244,Summer
Aleppo Pine,-37.82284344,144.9402768,Summer
Aleppo Pine,-37.83208352,144.977054,Summer
Aleppo Pine,-37.80752146,144.9724831,Summer
Aleppo Pine,-37.80825654,144.9457098,Summer
Aleppo Pine,-37.83199274,144.9769315,Summer
Aleppo Pine,-37.84202571,144.9795186,Summer
Aleppo Pine,-37.83186229,144.9770017,Summer
Aleppo Pine,-37.80766626,144.952695,Summer
Aleppo Pine,-37.80683128,144.9705072,Summer
Aleppo Pine,-37.82498885,144.9441075,Summer
Aleppo Pine,-37.82510404,144.9442734,Summer
Aleppo Pine,-37.82499908,144.9441977,Summer
Aleppo Pine,-37.80716242,144.9537321,Summer
Aleppo Pine,-37.80798481,144.9520461,Summer
Aleppo Pine,-37.84238871,144.981647,Summer
Aleppo Pine,-37.82514664,144.9726166,Summer
Aleppo Pine,-37.82567837,144.9716616,Summer
Aleppo Pine,-37.80787422,144.9522734,Summer
Aleppo Pine,-37.84207914,144.981651,Summer
Aleppo Pine,-37.82444538,144.9757194,Summer
Aleppo Pine,-37.82286169,144.9403827,Summer
Aleppo Pine,-37.82394453,144.9416602,Summer
Aleppo Pine,-37.82384865,144.941212,Summer
Aleppo Pine,-37.82282222,144.9404083,Summer
Aleppo Pine,-37.79087038,144.9602396,Summer
Aleppo Pine,-37.80775003,144.9462549,Summer
Aleppo Pine,-37.80775343,144.9525199,Summer
Aleppo Pine,-37.82288019,144.9403169,Summer
Aleppo Pine,-37.82391165,144.9414854,Summer
Aleppo Pine,-37.79001074,144.9620142,Summer
Aleppo Pine,-37.78778615,144.9245993,Summer
Aleppo Pine,-37.80758009,144.9528753,Summer
Aleppo Pine,-37.80686099,144.9704586,Summer
Aleppo Pine,-37.82564652,144.9738051,Summer
Aleppo Pine,-37.80816493,144.945805,Summer
Aleppo Pine,-37.84211003,144.9817391,Summer
Aleppo Pine,-37.78831931,144.9239307,Summer
Aleppo Pine,-37.84213664,144.979487,Summer
Aleppo Pine,-37.8076258,144.9463916,Summer
Aleppo Pine,-37.80805042,144.9519068,Summer
Aleppo Pine,-37.83163057,144.9769323,Summer
Aleppo Pine,-37.80737696,144.9532897,Summer
Aleppo Pine,-37.82389302,144.9414145,Summer
Aleppo Pine,-37.84216099,144.981626,Summer
Aleppo Pine,-37.82505971,144.9450842,Summer
Aleppo Pine,-37.83163691,144.9766718,Summer
Algerian Oak,-37.8030363,144.9685352,All year
Algerian Oak,-37.82054974,144.9405479,All year
Algerian Oak,-37.83584242,144.9869116,All year
Algerian Oak,-37.83191633,144.9745888,All year
Algerian Oak,-37.80499981,144.9538065,All year
Algerian Oak,-37.78911575,144.9345649,All year
Algerian Oak,-37.82364937,144.9710074,All year
Algerian Oak,-37.82417309,144.9757745,All year
Algerian Oak,-37.80288798,144.9671887,All year
Algerian Oak,-37.81567213,144.9809562,All year
Algerian Oak,-37.83132373,144.9756271,All year
Algerian Oak,-37.80297775,144.96885,All year
Algerian Oak,-37.83163567,144.9764424,All year
Algerian Oak,-37.82311706,144.9711968,All year
Algerian Oak,-37.82758874,144.9736904,All year
Algerian Oak,-37.82808407,144.9718086,All year
Algerian Oak,-37.83194895,144.9725052,All year
Algerian Oak,-37.83191189,144.9767939,All year
Algerian Oak,-37.83873647,144.9790121,All year
Algerian Oak,-37.8203043,144.9409207,All year
Algerian Oak,-37.82926151,144.9716863,All year
Algerian Oak,-37.82043519,144.9405008,All year
Algerian Oak,-37.78937555,144.9290789,All year
Algerian Oak,-37.78553058,144.9625852,All year
Algerian Oak,-37.82038076,144.9404698,All year
Algerian Oak,-37.84234,144.9819699,All year
Algerian Oak,-37.80450722,144.9538889,All year
Algerian Oak,-37.79200159,144.9298846,All year
Algerian Oak,-37.82287645,144.9737404,All year
Algerian Oak,-37.83109376,144.9753029,All year
Algerian Oak,-37.80263733,144.9648857,All year
Algerian Oak,-37.84039003,144.9789699,All year
Algerian Oak,-37.84227242,144.981818,All year
Algerian Oak,-37.83874243,144.9800424,All year
Algerian Oak,-37.79060697,144.929543,All year
Algerian Oak,-37.80201881,144.9593062,All year
Algerian Oak,-37.80321061,144.9692944,All year
Algerian Oak,-37.83100621,144.9748232,All year
Algerian Oak,-37.78862425,144.9288999,All year
Algerian Oak,-37.84330083,144.9838631,All year
Algerian Oak,-37.78905191,144.9291641,All year
Algerian Oak,-37.8359337,144.9865369,All year
Algerian Oak,-37.78940972,144.9292535,All year
Algerian Oak,-37.8029658,144.9669829,All year
Algerian Oak,-37.82744794,144.9725154,All year
Algerian Oak,-37.7911457,144.9608337,All year
Algerian Oak,-37.82031701,144.9404421,All year
Algerian Oak,-37.83211712,144.9746837,All year
Algerian Oak,-37.81048002,144.97871,All year
Algerian Oak,-37.8386109,144.9783804,All year
Algerian Oak,-37.78913999,144.9291865,All year
Algerian Oak,-37.8204943,144.9405258,All year
Algerian Oak,-37.80293838,144.9685582,All year
Algerian Oak,-37.80309755,144.9682621,All year
Algerian Oak,-37.83170556,144.9753864,All year
Algerian Oak,-37.83873711,144.9791806,All year
Algerian Oak,-37.80253888,144.9700316,All year
Algerian Oak,-37.79071093,144.9295667,All year
Algerian Oak,-37.82058767,144.9406399,All year
Algerian Oak,-37.82500497,144.9762937,All year
Algerian Oak,-37.79058404,144.9293766,All year
Algerian Oak,-37.83871774,144.9799161,All year
Algerian Oak,-37.80302832,144.9676129,All year
Algerian Oak,-37.80284129,144.9667967,All year
Algerian Oak,-37.79294794,144.9299575,All year
Algerian Oak,-37.79378124,144.9303621,All year
Algerian Oak,-37.79210693,144.9299048,All year
Algerian Oak,-37.8251243,144.974701,All year
Algerian Oak,-37.82025558,144.9404851,All year
Algerian Oak,-37.81041595,144.9812315,All year
Algerian Oak,-37.82512778,144.9765284,All year
Algerian Oak,-37.8317269,144.9745781,All year
Algerian Oak,-37.83860584,144.9791509,All year
Algerian Oak,-37.82279244,144.974331,All year
Algerian Oak,-37.79007896,144.9294089,All year
Algerian Oak,-37.82577264,144.9743525,All year
